episode;fake_acc;real_acc;perceptual_acc;gen_loss
0;0.991796875;0.85234375;0.008203125;6630.6359375
1;0.99296875;0.98984375;0.00703125;4987.927734375
2;0.994140625;0.99453125;0.005859375;4636.0453125
3;0.9890625;0.9921875;0.0109375;4150.3828125
4;0.98984375;0.994921875;0.01015625;3954.357421875
5;0.9875;0.99375;0.0125;3717.894921875
6;0.990625;0.995703125;0.009375;3623.144140625
7;0.987109375;0.99296875;0.012890625;3515.665234375
8;0.98984375;0.996484375;0.01015625;3353.632421875
9;0.987890625;0.9921875;0.012109375;3282.4046875
10;0.986328125;0.999609375;0.013671875;3309.61953125
11;0.978515625;0.998828125;0.021484375;3108.9841796875
12;0.966796875;1.0;0.033203125;2992.6875
13;0.958203125;0.999609375;0.041796875;2914.6283203125
14;0.940234375;0.99921875;0.059765625;2892.2662109375
15;0.94375;0.999609375;0.05625;2891.125
16;0.93046875;0.999609375;0.06953125;2911.4197265625
17;0.91953125;0.99921875;0.08046875;2837.850390625
18;0.908984375;0.99921875;0.091015625;2770.6142578125
19;0.893359375;0.999609375;0.106640625;2749.076171875
20;0.87578125;0.99921875;0.12421875;2706.823046875
21;0.864453125;0.99921875;0.135546875;2654.7115234375
22;0.856640625;0.999609375;0.143359375;2588.0884765625
23;0.8484375;0.999609375;0.1515625;2613.391796875
24;0.83046875;1.0;0.16953125;2631.8248046875
25;0.8125;0.999609375;0.1875;2526.08359375
26;0.793359375;0.999609375;0.206640625;2500.106640625
27;0.78828125;0.999609375;0.21171875;2539.542578125
28;0.809375;1.0;0.190625;2630.1009765625
29;0.780859375;0.999609375;0.219140625;2492.315625
30;0.7640625;0.999609375;0.2359375;2480.0671875
31;0.758203125;0.999609375;0.241796875;2433.8322265625
32;0.741015625;0.99921875;0.258984375;2370.26640625
33;0.725390625;0.999609375;0.274609375;2391.196875
34;0.7203125;0.999609375;0.2796875;2374.8822265625
35;0.709375;0.999609375;0.290625;2448.3224609375
36;0.691796875;0.9984375;0.308203125;2348.2857421875
37;0.66796875;0.999609375;0.33203125;2360.23046875
38;0.665234375;0.99921875;0.334765625;2278.2376953125
39;0.6515625;0.998828125;0.3484375;2323.5490234375
40;0.6515625;0.999609375;0.3484375;2275.6830078125
41;0.65;1.0;0.35;2314.1091796875
42;0.616015625;1.0;0.383984375;2259.782421875
43;0.6421875;0.998828125;0.3578125;2290.2322265625
44;0.6109375;0.99921875;0.3890625;2267.0318359375
45;0.621875;0.999609375;0.378125;2176.969140625
46;0.6140625;0.999609375;0.3859375;2225.7123046875
47;0.59921875;0.99921875;0.40078125;2166.94140625
48;0.549609375;0.998828125;0.450390625;2144.1953125
49;0.55625;0.999609375;0.44375;2267.0431640625
